PointID,Lat,Lng,Elevation,LocalX,LocalY,LocalZ,HRMS,VRMS,Status,Age,NumSatellites,HDOP,VDOP,PDOP,TDOP,GDOP,Note,RW5RecordType,RodHeight,InstrumentHeight,InstrumentType,DateTime
5225,45.160993669355,-66.032681527097,4.09528,7363326.0449,2534730.6916,23.4657,0.005,0.008,FIXED,1.0,13,0.824,1.32,1.556,0.876,1.786,CP--6000,GPS,2.0,,GPS,2021-07-21 08:22:14+00:00
5226,45.160993634286,-66.032681544396,4.080253,7363326.0341,2534730.6879,23.4506,0.004,0.007,FIXED,1.0,13,0.825,1.319,1.556,0.876,1.785,CP--6000,GPS,2.0,,GPS,2021-07-21 08:23:01+00:00
5227,45.160993656404,-66.032681536595,4.086556,7363326.0409,2534730.6896,23.4569,0.005,0.008,FIXED,1.0,13,0.754,1.283,1.489,0.827,1.703,CP--6000,GPS,2.0,,GPS,2021-07-21 08:23:42+00:00
5228,45.160993642846,-66.032681514743,4.087694,7363326.0367,2534730.6944,23.4581,0.005,0.008,FIXED,1.0,12,0.782,1.369,1.576,0.902,1.816,CP--6000,GPS,2.0,,GPS,2021-07-21 08:24:14+00:00
5229,45.160862199127,-66.032689330114,2.662479,7363285.4480,2534729.2157,22.0337,0.005,0.009,FIXED,1.0,10,0.974,1.594,1.868,1.144,2.19,CL B,GPS,2.0,,GPS,2021-07-21 08:31:30+00:00
5230,45.160895198976,-66.032699629911,2.989357,7363295.6233,2534726.9139,22.3604,0.006,0.009,FIXED,1.0,13,0.724,1.172,1.378,0.76,1.573,CL B,GPS,2.0,,GPS,2021-07-21 08:31:51+00:00
5231,45.160937264027,-66.032713876195,3.355874,7363308.5924,2534723.7363,22.7268,0.005,0.008,FIXED,1.0,12,0.844,1.399,1.634,0.978,1.904,CL B,GPS,2.0,,GPS,2021-07-21 08:32:50+00:00
5232,45.160974415309,-66.032725538768,3.689246,7363320.0476,2534721.1303,23.0600,0.005,0.008,FIXED,1.0,11,1.01,1.681,1.961,1.19,2.294,CL B,GPS,2.0,,GPS,2021-07-21 08:33:04+00:00
5233,45.161027251425,-66.032742977768,4.112742,7363336.3381,2534717.2383,23.4832,0.005,0.008,FIXED,1.0,10,1.073,1.875,2.16,1.364,2.555,CL B,GPS,2.0,,GPS,2021-07-21 08:33:24+00:00
5234,45.161061892774,-66.032753673039,4.288441,7363347.0196,2534714.8475,23.6587,0.005,0.009,FIXED,1.0,10,0.969,2.487,2.67,1.717,3.174,CL B,GPS,2.0,,GPS,2021-07-21 08:33:39+00:00
5235,45.161086528403,-66.032762513474,4.470842,7363354.6145,2534712.8782,23.8410,0.004,0.007,FIXED,1.0,10,1.178,3.073,3.291,2.274,4.0,CL B,GPS,2.0,,GPS,2021-07-21 08:35:04+00:00
5236,45.161121871102,-66.032772772016,4.678629,7363365.5131,2534710.5814,24.0486,0.004,0.007,FIXED,1.0,11,1.078,1.914,2.197,1.393,2.601,CL B,GPS,2.0,,GPS,2021-07-21 08:35:22+00:00
5237,45.16115590955,-66.032784092596,4.896463,7363376.0077,2534708.0554,24.2663,0.004,0.007,FIXED,1.0,11,1.079,1.919,2.201,1.397,2.607,CL B,GPS,2.0,,GPS,2021-07-21 08:35:37+00:00
5238,45.161190146174,-66.032795542715,5.091989,7363386.5634,2534705.5007,24.4617,0.006,0.009,FIXED,1.0,9,1.293,1.768,2.19,1.362,2.579,CL B,GPS,2.0,,GPS,2021-07-21 08:36:04+00:00
5239,45.161233286994,-66.032810405276,5.356255,7363399.8639,2534702.1870,24.7257,0.004,0.008,FIXED,1.0,10,1.012,1.734,2.008,1.226,2.352,CL B,GPS,2.0,,GPS,2021-07-21 08:36:33+00:00
5240,45.1612576,-66.032817576502,5.419718,7363407.3611,2534700.5822,24.7891,0.006,0.01,FIXED,1.0,8,1.177,2.949,3.175,2.185,3.854,CL B,GPS,2.0,,GPS,2021-07-21 08:37:29+00:00
5241,45.161296581446,-66.032829762174,5.49143,7363419.3808,2534697.8591,24.8606,0.007,0.015,FIXED,1.0,8,1.291,1.814,2.226,1.396,2.628,CL B,GPS,2.0,,GPS,2021-07-21 08:38:26+00:00
5242,45.161330131288,-66.032840146085,5.572148,7363429.7257,2534695.5381,24.9412,0.005,0.009,FIXED,1.0,10,0.996,2.076,2.303,1.52,2.76,CL B,GPS,2.0,,GPS,2021-07-21 08:39:28+00:00
5243,45.161095340127,-66.03224268519,5.906016,7363357.9640,2534826.1821,25.2737,0.006,0.009,FIXED,1.0,9,1.203,2.207,2.514,1.699,3.034,CL B J5067,GPS,2.0,,GPS,2021-07-21 08:44:07+00:00
5244,45.161086273247,-66.032295660242,6.460382,7363355.1006,2534814.6494,25.8284,0.005,0.007,FIXED,1.0,10,1.023,1.645,1.937,1.23,2.295,CL B J5067,GPS,2.0,,GPS,2021-07-21 08:44:24+00:00
5245,45.161078418887,-66.032341002333,6.750026,7363352.6209,2534804.7786,26.1183,0.007,0.012,FIXED,1.0,8,0.924,1.215,1.526,0.838,1.741,CL B J5067,GPS,2.0,,GPS,2021-07-21 08:44:39+00:00
5246,45.161068580332,-66.032398982106,6.997434,7363349.5133,2534792.1563,26.3660,0.007,0.011,FIXED,1.0,12,0.81,1.211,1.457,0.819,1.671,CL B J5067,GPS,2.0,,GPS,2021-07-21 08:44:59+00:00
5247,45.16105975158,-66.032448424128,6.951537,7363346.7278,2534781.3934,26.3204,0.008,0.017,FIXED,1.0,10,0.81,1.211,1.457,0.819,1.671,CL B J5067,GPS,2.0,,GPS,2021-07-21 08:45:16+00:00
5248,45.161052518275,-66.032488281735,6.777816,7363344.4465,2534772.7171,26.1469,0.007,0.01,FIXED,1.0,13,0.718,1.173,1.376,0.76,1.572,CL B J5067,GPS,2.0,,GPS,2021-07-21 08:45:34+00:00
5249,0,0,0,0,0,0,,,,,,,,,,,CL,SS,2.0,1.691,TotalStation,2021-07-21 08:52:30+00:00
5250,0,0,0,0,0,0,,,,,,,,,,,CL,SS,2.0,1.691,TotalStation,2021-07-21 08:52:58+00:00
5251,0,0,0,0,0,0,,,,,,,,,,,CL,SS,2.0,1.691,TotalStation,2021-07-21 08:53:48+00:00
5252,0,0,0,0,0,0,,,,,,,,,,,CL,SS,2.0,1.691,TotalStation,2021-07-21 08:54:16+00:00
5253,0,0,0,0,0,0,,,,,,,,,,,CL D,SS,2.0,1.691,TotalStation,2021-07-21 08:54:42+00:00
5254,0,0,0,0,0,0,,,,,,,,,,,BLDS B,SS,2.0,1.691,TotalStation,2021-07-21 08:56:18+00:00
5255,0,0,0,0,0,0,,,,,,,,,,,BLDS B,SS,2.0,1.691,TotalStation,2021-07-21 08:56:30+00:00
5256,0,0,0,0,0,0,,,,,,,,,,,BLDS BLDF B,SS,2.0,1.691,TotalStation,2021-07-21 08:59:06+00:00
5257,0,0,0,0,0,0,,,,,,,,,,,BLDF,SS,2.0,1.691,TotalStation,2021-07-21 09:03:15+00:00
5258,0,0,0,0,0,0,,,,,,,,,,,BLDF A,SS,2.0,1.691,TotalStation,2021-07-21 09:03:49+00:00
5259,0,0,0,0,0,0,,,,,,,,,,,BLDF,SS,2.0,1.691,TotalStation,2021-07-21 09:05:02+00:00
5260,0,0,0,0,0,0,,,,,,,,,,,BLDF A,SS,2.0,1.691,TotalStation,2021-07-21 09:05:25+00:00
5261,0,0,0,0,0,0,,,,,,,,,,,BLDF,SS,2.0,1.691,TotalStation,2021-07-21 09:06:00+00:00
5262,0,0,0,0,0,0,,,,,,,,,,,BLDF E,SS,2.0,1.691,TotalStation,2021-07-21 09:06:16+00:00
5263,0,0,0,0,0,0,,,,,,,,,,,BLDF,SS,2.0,1.691,TotalStation,2021-07-21 09:07:04+00:00
5264,0,0,0,0,0,0,,,,,,,,,,,BLDF,SS,2.0,1.691,TotalStation,2021-07-21 09:07:44+00:00
5265,0,0,0,0,0,0,,,,,,,,,,,BLDF/ENTRENCE,SS,2.0,1.691,TotalStation,2021-07-21 09:08:33+00:00
5266,0,0,0,0,0,0,,,,,,,,,,,BLDF/ENTRENCE,SS,2.0,1.691,TotalStation,2021-07-21 09:09:01+00:00
5267,0,0,0,0,0,0,,,,,,,,,,,BLDF,SS,2.0,1.691,TotalStation,2021-07-21 09:09:28+00:00
5268,0,0,0,0,0,0,,,,,,,,,,,BLDF,SS,2.0,1.691,TotalStation,2021-07-21 09:12:17+00:00
5269,0,0,0,0,0,0,,,,,,,,,,,BLDF,SS,2.0,1.691,TotalStation,2021-07-21 09:12:49+00:00
5270,0,0,0,0,0,0,,,,,,,,,,,BLDF,SS,2.0,1.691,TotalStation,2021-07-21 09:13:03+00:00
5271,0,0,0,0,0,0,,,,,,,,,,,BLDF,SS,2.0,1.691,TotalStation,2021-07-21 09:13:17+00:00
5272,0,0,0,0,0,0,,,,,,,,,,,BLDF/ENTRENCE,SS,2.0,1.691,TotalStation,2021-07-21 09:13:44+00:00
5273,0,0,0,0,0,0,,,,,,,,,,,BLDF/ENTRENCE,SS,2.0,1.691,TotalStation,2021-07-21 09:14:01+00:00
5274,0,0,0,0,0,0,,,,,,,,,,,BLDF,SS,2.0,1.691,TotalStation,2021-07-21 09:14:18+00:00
